20-10-22 11:26; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 20-10-22 11:27; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 20-10-22 11:28; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 11:29; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 11:48; Success, files upload; commands.txt; 183; Not found metadata; 
20-10-22 11:48; File type is not text and not image; index.php; 127; Not found metadata; 
20-10-22 11:54; File type is not text and not image; composer.json; 326; Not found metadata; 
20-10-22 11:54; Success, files upload; Screenshot from 2022-10-19 10-58-03.png; 433408; Not found metadata; 
20-10-22 12:35; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 12:35; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 13:13; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 13:45; Success, files upload; photo-1606115915090-be18fea23ec7.jpeg; 331729; COMPUTED.IsColor: 1 ; 
20-10-22 13:48; File type is not text and not image; composer.lock; 8835; Not found metadata; 
20-10-22 14:26; Success, files upload; commands.txt; 246; Not found metadata; 
